日付,曜日,メイン,野菜,デザート,飲み物,栄養士
2025-06-09,月,パン・ミンチカツ,厚切りベーコンとエリンギのソテー・スコッチブロス,りんご,牛乳,吉田真里奈
2025-06-10,火,ご飯・鰆のレモンしょうゆかけ,切干大根の炒め煮・沢煮椀,みかん,牛乳,吉田真里奈
2025-06-11,水,ハンバーグカレーライス,フレンチサラダ,フルーツミックス,牛乳,吉田真里奈
2025-06-12,木,味噌ラーメン・焼き餃子,中華風春雨サラダ,マンゴーゼリー,牛乳,吉田真里奈
2025-06-13,金,マーボー丼,中華和え,いちご,牛乳,吉田真里奈
2025-06-14,土,ご飯・厚揚げチゲ,ミニ肉まん・春雨サラダ,オレンジ,牛乳,吉田真里奈
2025-06-15,日,お好み焼き・ご飯,ごま塩昆布和え・かきたま汁,りんごゼリー,牛乳,吉田真里奈
2025-06-16,月,ご飯・白身魚フライ,きゅうりと大根のさっぱりづけ・豆腐のみそ汁,バナナ,牛乳,吉田真里奈
2025-06-17,火,パン・焼きそば,ツナと海藻の和え物,ヨーグルト,牛乳,吉田真里奈
2025-06-18,水,ローストビーフ丼,コーンポタージュ・温野菜サラダ,ガトーショコラ,牛乳,吉田真里奈
2025-06-19,木,エビピラフ,グリーンサラダ・コンソメスープ,チョコムース,牛乳,吉田真里奈
2025-06-20,金,パン・揚げ鶏のマーマレードソースかけ,じゃがいもさっぱりサラダ・ベジタブルスープ,キウイ,牛乳,吉田真里奈
2025-06-21,土,ご飯・いわしの梅煮,ひじき豆・すまし汁,オレンジ,牛乳,吉田真里奈
2025-06-22,日,ご飯・豚肉の味噌炒め,春キャベツの塩昆布和え・豆腐の味噌汁,りんご,牛乳,吉田真里奈
2025-06-23,月,コッペパン・フランクフルトのケチャップ煮,じゃがいものソテー・コーンスープ,みかん,牛乳,吉田真里奈
2025-06-24,火,麦ご飯・ポークカレーライス,福神漬け・海藻サラダ,型抜きチーズ,牛乳,吉田真里奈
2025-06-25,水,牛丼,紅生姜・ほうれん草のお浸し・豚汁,みたらし団子,お茶,吉田真里奈
2025-06-26,木,たらこスパゲティ,水菜と大根のサラダ,チョコプリン,牛乳,吉田真里奈
2025-06-27,金,ご飯・鶏の照り焼き,ゴボウサラダ・すまし汁,バナナ,牛乳,吉田真里奈
2025-06-28,土,黒糖パン・マカロニのあべかわ,アスパラサラダ・ポトフ,グレープフルーツ,牛乳,吉田真里奈
2025-06-29,日,ご飯・ハッシュドビーフ,カラフルサラダ,チョコクレープ,牛乳,吉田真里奈
2025-06-30,月,パン・鮭の香草焼き,マッシュパンプキン・野菜スープ,キウイ,牛乳,吉田真里奈
2025-07-01,火,わかめご飯・肉じゃが（春カツオ風味）,ほうれん草のツナ和え,ヨーグルト,牛乳,吉田真里奈
2025-07-02,水,セルフハンバーガー,フライドポテト・ミネストローネ,オレンジゼリー,牛乳,吉田真里奈
2025-07-03,木,えびのチリソース炒め・ご飯,中華コーンスープ,杏仁豆腐いちごソース,牛乳,吉田真里奈
2025-07-04,金,梅しらすチャーハン,チンゲン菜と豆腐のスープ,あじさいゼリー,牛乳,吉田真里奈
2025-07-05,土,牛肉のステーキ風・ガーリックライス,ほうれん草ソテー・オニオンスープ,いちごショートケーキ,牛乳,吉田真里奈
2025-07-06,日,ソースカツ丼,キャベツの千切り・なめこ汁,みかんゼリー,牛乳,吉田真里奈
2025-07-07,月,そうめん（七夕）,きゅうりとトマトの酢の物・星型オクラ,スイカ,麦茶,吉田真里奈
2025-07-08,火,ご飯・鶏肉の柚子胡椒焼き,こんにゃくのきんぴら・大根の味噌汁,デコポン,牛乳,吉田真里奈
2025-07-09,水,パインパン・マカロニナポリタン,コーンサラダ,りんご,牛乳,吉田真里奈
2025-07-10,木,ご飯・ブリの照り焼き,若竹煮・かき玉汁,はっさく,牛乳,吉田真里奈
2025-07-11,金,チャーハン・揚げ春巻き,もやしの中華スープ,マンゴーゼリー,牛乳,吉田真里奈
2025-07-12,土,セルフハンバーガー,フライドポテト・ミネストローネ,オレンジゼリー,牛乳,吉田真里奈
2025-07-13,日,鍋焼きうどん,ちくわ天・おにぎり,黒糖ドーナツ,お茶,吉田真里奈
2025-07-14,月,ご飯・豚肉の味噌炒め,春キャベツの塩昆布和え・豆腐の味噌汁,いちご,牛乳,吉田真里奈
2025-07-15,火,パン・鮭の香草焼き,マッシュパンプキン・野菜スープ,キウイ,牛乳,吉田真里奈
2025-07-16,水,わかめご飯・肉じゃが（春カツオ風味）,ほうれん草のツナ和え,ヨーグルト,牛乳,吉田真里奈
2025-07-17,木,ご飯・サバの塩焼き,五目豆・玉ねぎとわかめの味噌汁,バナナ,牛乳,吉田真里奈
2025-07-19,土,ご飯・ハッシュドビーフ,カラフルサラダ,チョコクレープ,牛乳,吉田真里奈
2025-07-20,日,タンドリーチキン・ターメリックライス,キャベツのピクルス・カレースープ,パインアップル,牛乳,吉田真里奈
2025-07-21,月,たらこスパゲティ,水菜と大根のサラダ,チョコプリン,牛乳,吉田真里奈
2025-07-22,火,そうめん,天ぷら盛り合わせ・枝豆,スイカ,麦茶,吉田真里奈
2025-07-23,水,コッペパン・フランクフルトのケチャップ煮,じゃがいものソテー・コーンスープ,りんご,牛乳,吉田真里奈
2025-07-24,木,麦ご飯・ポークカレーライス,福神漬け・海藻サラダ,フルーツミックス,牛乳,吉田真里奈
2025-07-26,土,赤魚の煮付け・ご飯,おから炒め・えのきの味噌汁,ぼたもち,お茶,吉田真里奈
2025-07-27,日,黒糖パン・マカロニのあべかわ,アスパラサラダ・ポトフ,グレープフルーツ,牛乳,吉田真里奈
2025-07-28,月,牛丼,紅生姜・ほうれん草のお浸し・豚汁,みたらし団子,お茶,吉田真里奈
2025-07-29,火,ロコモコ丼,アボカドとトマトのサラダ,ココナッツミルクゼリー,牛乳,吉田真里奈
2025-07-30,水,ご飯・鱈の甘酢あんかけ,春雨サラダ・中華スープ,オレンジ,牛乳,吉田真里奈
2025-07-31,木,きなこ揚げパン・ミネストローネ,コーンサラダ,バナナ,牛乳,吉田真里奈
2025-08-02,土,ご飯・親子煮,青菜の胡麻和え・じゃがいもの味噌汁,いちご,牛乳,吉田真里奈
2025-08-03,日,菜飯・ししゃものフライ,切り干し大根の煮物・すまし汁,キウイ,牛乳,吉田真里奈
2025-08-04,月,食パン・手作りりんごジャム・鶏肉のトマト煮,温野菜サラダ,チーズ,牛乳,吉田真里奈
2025-08-05,火,そうめん,なすの煮浸し・冷やしトマト,白桃ゼリー,麦茶,吉田真里奈
2025-08-06,水,ちゃんぽん麺,揚げ餃子,杏仁豆腐,牛乳,吉田真里奈
2025-08-07,木,赤飯・エビフライ,紅白なます・お祝いすまし汁,お祝いショートケーキ,牛乳,吉田真里奈
2025-08-08,金,ご飯・鯖のゆず味噌焼き,春キャベツのお浸し・若竹汁,オレンジ,牛乳,吉田真里奈
2025-08-09,土,黒糖パン・マッシュルームのシチュー,アスパラガスのサラダ,りんご,牛乳,吉田真里奈
2025-08-10,日,たけのこご飯・だし巻き玉子,小松菜の胡麻和え・すまし汁,いちご,牛乳,吉田真里奈
2025-08-11,月,ご飯・肉じゃが（新じゃが）,ほうれん草のツナ和え,ヨーグルト,牛乳,吉田真里奈
2025-08-12,火,チキンカレー,福神漬け・フルーツポンチ,チーズ,牛乳,吉田真里奈
2025-08-13,水,きつねうどん,ちくわの磯辺揚げ・ゆかり和え,抹茶アイス風デザート,お茶,吉田真里奈
2025-08-14,木,ご飯・麻婆豆腐,バンサンスー,バナナ,牛乳,吉田真里奈
2025-08-15,金,丸パン・白身魚のフライ,ボイルキャベツ・ミネストローネ,キウイ,牛乳,吉田真里奈
2025-08-16,土,ご飯・豚肉の生姜焼き,ポテトサラダ・玉ねぎの味噌汁,みかん,牛乳,吉田真里奈
2025-08-17,日,山菜うどん,さつまいもの天ぷら・ごま塩和え,わらび餅,牛乳,吉田真里奈
2025-08-18,月,そうめん,ちくわの磯辺揚げ・きゅうりの浅漬け,オレンジ,麦茶,吉田真里奈
2025-08-19,火,焼きそば,大根サラダ,フルーツヨーグルト,牛乳,吉田真里奈
2025-08-20,水,ミートソーススパゲティ,フレンチサラダ,手作りチョコケーキ,牛乳,吉田真里奈
2025-08-21,木,黒豆パン・ポークチャップ,粉吹き芋・コーンスープ,りんご,牛乳,吉田真里奈
2025-08-22,金,ご飯・筑前煮,厚焼き玉子・すまし汁,ぶどうゼリー,牛乳,吉田真里奈
2025-08-23,土,麦ご飯・ハヤシライス,グリーンサラダ,クラッカー,牛乳,吉田真里奈
2025-08-24,日,ご飯・鯖のカレー焼き,もやしのナムル・中華スープ,バナナ,牛乳,吉田真里奈
2025-08-26,火,食パン・いちごジャム・スペイン風オムレツ,アスパラソテー・野菜スープ,グレープフルーツ,牛乳,吉田真里奈
2025-08-27,水,そうめん,とうもろこしの天ぷら・冷やし茶碗蒸し,スナックパイン,麦茶,吉田真里奈
2025-08-28,木,醤油ラーメン,揚げ餃子・中華風春雨サラダ,マンゴーゼリー,牛乳,吉田真里奈
2025-08-29,金,ご飯・ハンバーグ和風おろしソース,根菜汁,いちご,牛乳,吉田真里奈
2025-08-30,土,ご飯・八宝菜,大学芋,オレンジ,牛乳,吉田真里奈
2025-08-31,日,パン・クリームシチュー,ブロッコリーサラダ,りんご,牛乳,吉田真里奈
2025-09-01,月,ご飯・カツオのたたき風,豚汁,ももゼリー,牛乳,吉田真里奈
2025-09-02,火,ご飯・イカのチリソース炒め,中華スープ,みかん,牛乳,吉田真里奈
2025-09-03,水,ナポリタン,ガーリックトースト・シーザーサラダ,パンナコッタ,牛乳,吉田真里奈
2025-09-04,木,カニクリームコロッケ・パン,トマトスープ,フルーツタルト,牛乳,吉田真里奈
2025-09-05,金,ご飯・肉団子の甘酢煮,春雨サラダ,バナナ,牛乳,吉田真里奈
2025-09-06,土,ご飯・ししゃものから揚げ,豆腐の味噌汁・お浸し,キウイ,牛乳,吉田真里奈
2025-09-07,日,コッペパン・マカロニグラタン,フレンチサラダ,いちご,牛乳,吉田真里奈
2025-09-08,月,ピースご飯・ちくわの天ぷら,かき玉汁,柏餅,牛乳,吉田真里奈
2025-09-09,火,パン・アドボ,コールスローサラダ・カレースープ,ヨーグルト,牛乳,吉田真里奈
2025-09-10,水,カツ丼,ほうれん草としめじのお浸し・おすまし,いちごフルーチェ,牛乳,吉田真里奈
2025-09-11,木,塩ラーメン,春巻き・もやしのナムル,ごま団子,牛乳,吉田真里奈
2025-09-12,金,ご飯・鰹のオーロラソース,若竹煮・すまし汁,オレンジ,牛乳,吉田真里奈
2025-09-13,土,ご飯・豚キムチ,トックスープ,マスカットゼリー,牛乳,吉田真里奈
2025-09-14,日,クロワッサン・鮭のクリーム煮,温野菜サラダ,バナナ,牛乳,吉田真里奈
2025-09-15,月,ご飯・高野豆腐の卵とじ,えのきの味噌汁,りんご,牛乳,吉田真里奈
2025-09-16,火,タコライス,もずくスープ,パイナップル,牛乳,吉田真里奈
2025-09-17,水,カレーうどん,じゃこピーマン・小さめおにぎり,スイートポテト,牛乳,吉田真里奈
2025-09-18,木,シーフードドリア,トマトスープ,プリン,牛乳,吉田真里奈
2025-09-19,金,ご飯・鶏肉のレモン風味,キャベツのゆかり和え・味噌汁,みかん,牛乳,吉田真里奈
2025-09-20,土,パインパン・マカロニグラタン,アスパラサラダ,キウイ,牛乳,吉田真里奈
2025-09-21,日,ご飯・さんまの蒲焼き,里芋の味噌汁・磯香和え,ぶどうゼリー,牛乳,吉田真里奈
2025-09-22,月,ご飯・すき焼き風煮,小松菜のお浸し,りんごゼリー,牛乳,吉田真里奈
2025-09-23,火,ビビンバ,わかめと卵のスープ,いちご,牛乳,吉田真里奈
2025-09-24,水,チキン南蛮・ご飯,パプリカのマリネ・コンソメスープ,日向夏,牛乳,吉田真里奈
2025-09-25,木,カルボナーラ,トマトサラダ・野菜スープ,ヨーグルトパフェ,牛乳,吉田真里奈
2025-09-26,金,ご飯・アジの南蛮漬け,すまし汁・ごま和え,バナナ,牛乳,吉田真里奈
2025-09-27,土,レーズンパン・鶏肉のマスタード焼き,人参サラダ・オニオンスープ,オレンジ,牛乳,吉田真里奈
2025-09-28,日,鶏ごぼうご飯・さわらの竜田揚げ,お浸し・味噌汁,りんご,牛乳,吉田真里奈
2025-09-29,月,ご飯・厚揚げの生姜焼き,味噌汁・キャベツのツナ和え,いよかん,牛乳,吉田真里奈
2025-09-30,火,パン・チキンシチュー,ウインナーとコーンのソテー,いちご,牛乳,吉田真里奈
2025-10-01,水,キーマカレー・ナン,チーズサラダ,フルーツポンチ,牛乳,吉田真里奈
2025-10-02,木,ちゃんぽん麺,シュウマイ・青梗菜のナムル,抹茶プリン,牛乳,吉田真里奈
2025-10-03,金,ご飯・豚肉の塩麹焼き,五目きんぴら・大根の味噌汁,キウイ,牛乳,吉田真里奈
2025-10-04,土,きなこ揚げパン・ミネストローネ,コーンサラダ,バナナ,牛乳,吉田真里奈
2025-10-05,日,ご飯・親子煮,青菜の胡麻和え・じゃがいもの味噌汁,みかん,牛乳,吉田真里奈
2025-10-06,月,ご飯・鱈の甘酢あんかけ,中華スープ・春雨サラダ,オレンジ,牛乳,吉田真里奈
2025-10-07,火,豚骨ラーメン,鶏キムチ炒め,杏仁豆腐,牛乳,吉田真里奈
2025-10-08,水,ガーリックライス・牛肉のステーキ風,オニオンスープ・ほうれん草ソテー,いちごショートケーキ,牛乳,吉田真里奈
2025-10-09,木,オムそば,大根サラダ・わかめスープ,ヨーグルトパフェ,牛乳,吉田真里奈
2025-10-10,金,パン・水なすとベーコンのスパゲティ,ツナサラダ,パイナップル,牛乳,吉田真里奈
2025-10-11,土,ご飯・鯖の香味ソースかけ,小松菜と油揚げのおひたし・豚汁,キウイ,牛乳,吉田真里奈
2025-10-12,日,ご飯・五目うどん,夏野菜のかきあげ,白玉あずき,牛乳,吉田真里奈
2025-10-13,月,パン・ミンチカツ,厚切りベーコンとエリンギのソテー・スコッチブロス,りんご,牛乳,吉田真里奈
2025-10-14,火,ご飯・鰆のレモンしょうゆかけ,切干大根の炒め煮・沢煮椀,みかん,牛乳,吉田真里奈
2025-10-15,水,ハンバーグカレーライス,フレンチサラダ,フルーツミックス,牛乳,吉田真里奈
2025-10-16,木,味噌ラーメン・焼き餃子,中華風春雨サラダ,マンゴーゼリー,牛乳,吉田真里奈
2025-10-17,金,マーボー丼,中華和え,いちご,牛乳,吉田真里奈
2025-10-18,土,ご飯・厚揚げチゲ,ミニ肉まん・春雨サラダ,オレンジ,牛乳,吉田真里奈
2025-10-19,日,お好み焼き・ご飯,ごま塩昆布和え・かきたま汁,りんごゼリー,牛乳,吉田真里奈
2025-10-20,月,ご飯・白身魚フライ,きゅうりと大根のさっぱりづけ・豆腐のみそ汁,バナナ,牛乳,吉田真里奈
2025-10-21,火,パン・焼きそば,ツナと海藻の和え物,ヨーグルト,牛乳,吉田真里奈
2025-10-22,水,ローストビーフ丼,コーンポタージュ・温野菜サラダ,ガトーショコラ,牛乳,吉田真里奈
2025-10-23,木,エビピラフ,グリーンサラダ・コンソメスープ,チョコムース,牛乳,吉田真里奈
2025-10-24,金,パン・揚げ鶏のマーマレードソースかけ,じゃがいもさっぱりサラダ・ベジタブルスープ,キウイ,牛乳,吉田真里奈
2025-10-25,土,ご飯・いわしの梅煮,ひじき豆・すまし汁,オレンジ,牛乳,吉田真里奈
2025-10-26,日,ご飯・豚肉の味噌炒め,春キャベツの塩昆布和え・豆腐の味噌汁,りんご,牛乳,吉田真里奈
2025-10-27,月,コッペパン・フランクフルトのケチャップ煮,じゃがいものソテー・コーンスープ,みかん,牛乳,吉田真里奈
2025-10-28,火,麦ご飯・ポークカレーライス,福神漬け・海藻サラダ,型抜きチーズ,牛乳,吉田真里奈
2025-10-29,水,牛丼,紅生姜・ほうれん草のお浸し・豚汁,みたらし団子,お茶,吉田真里奈
2025-10-30,木,たらこスパゲティ,水菜と大根のサラダ,チョコプリン,牛乳,吉田真里奈
2025-10-31,金,ご飯・鶏の照り焼き,ゴボウサラダ・すまし汁,バナナ,牛乳,吉田真里奈
2025-11-01,土,黒糖パン・マカロニのあべかわ,アスパラサラダ・ポトフ,グレープフルーツ,牛乳,吉田真里奈
2025-11-02,日,ご飯・ハッシュドビーフ,カラフルサラダ,チョコクレープ,牛乳,吉田真里奈
2025-11-03,月,パン・鮭の香草焼き,マッシュパンプキン・野菜スープ,キウイ,牛乳,吉田真里奈
2025-11-04,火,わかめご飯・肉じゃが（春カツオ風味）,ほうれん草のツナ和え,ヨーグルト,牛乳,吉田真里奈
2025-11-05,水,セルフハンバーガー,フライドポテト・ミネストローネ,オレンジゼリー,牛乳,吉田真里奈
2025-11-06,木,えびのチリソース炒め・ご飯,中華コーンスープ,杏仁豆腐いちごソース,牛乳,吉田真里奈
2025-11-07,金,梅しらすチャーハン,チンゲン菜と豆腐のスープ,あじさいゼリー,牛乳,吉田真里奈
2025-11-08,土,牛肉のステーキ風・ガーリックライス,ほうれん草ソテー・オニオンスープ,いちごショートケーキ,牛乳,吉田真里奈
2025-11-09,日,ソースカツ丼,キャベツの千切り・なめこ汁,みかんゼリー,牛乳,吉田真里奈
2025-11-10,月,ちらし寿司・鰆の西京焼き,菜の花のお浸し・はまぐり風お吸い物,ひなあられ・桜餅,牛乳,吉田真里奈
2025-11-11,火,ご飯・鶏肉の柚子胡椒焼き,こんにゃくのきんぴら・大根の味噌汁,デコポン,牛乳,吉田真里奈
2025-11-12,水,パインパン・マカロニナポリタン,コーンサラダ,りんご,牛乳,吉田真里奈
2025-11-13,木,ご飯・ブリの照り焼き,若竹煮・かき玉汁,はっさく,牛乳,吉田真里奈
2025-11-14,金,チャーハン・揚げ春巻き,もやしの中華スープ,マンゴーゼリー,牛乳,吉田真里奈
2025-11-15,土,セルフハンバーガー,フライドポテト・ミネストローネ,オレンジゼリー,牛乳,吉田真里奈
2025-11-16,日,鍋焼きうどん,ちくわ天・おにぎり,黒糖ドーナツ,お茶,吉田真里奈
2025-11-17,月,ご飯・豚肉の味噌炒め,春キャベツの塩昆布和え・豆腐の味噌汁,いちご,牛乳,吉田真里奈
2025-11-18,火,パン・鮭の香草焼き,マッシュパンプキン・野菜スープ,キウイ,牛乳,吉田真里奈
2025-11-19,水,わかめご飯・肉じゃが（春カツオ風味）,ほうれん草のツナ和え,ヨーグルト,牛乳,吉田真里奈
2025-11-20,木,ご飯・サバの塩焼き,五目豆・玉ねぎとわかめの味噌汁,バナナ,牛乳,吉田真里奈
2025-11-21,金,ご飯・ハッシュドビーフ,カラフルサラダ,チョコクレープ,牛乳,吉田真里奈
2025-11-22,土,タンドリーチキン・ターメリックライス,キャベツのピクルス・カレースープ,パインアップル,牛乳,吉田真里奈
2025-11-23,日,たらこスパゲティ,水菜と大根のサラダ,チョコプリン,牛乳,吉田真里奈
2025-11-24,月,ご飯・鶏の照り焼き,ゴボウサラダ・すまし汁,みかん,牛乳,吉田真里奈
2025-11-25,火,コッペパン・フランクフルトのケチャップ煮,じゃがいものソテー・コーンスープ,りんご,牛乳,吉田真里奈
2025-11-26,水,麦ご飯・ポークカレーライス,福神漬け・海藻サラダ,フルーツミックス,牛乳,吉田真里奈
2025-11-27,木,赤魚の煮付け・ご飯,おから炒め・えのきの味噌汁,ぼたもち,お茶,吉田真里奈
2025-11-28,金,黒糖パン・マカロニのあべかわ,アスパラサラダ・ポトフ,グレープフルーツ,牛乳,吉田真里奈
2025-11-29,土,牛丼,紅生姜・ほうれん草のお浸し・豚汁,みたらし団子,お茶,吉田真里奈
2025-11-30,日,ロコモコ丼,アボカドとトマトのサラダ,ココナッツミルクゼリー,牛乳,吉田真里奈
2025-12-01,月,ご飯・鱈の甘酢あんかけ,春雨サラダ・中華スープ,オレンジ,牛乳,吉田真里奈
2025-12-02,火,きなこ揚げパン・ミネストローネ,コーンサラダ,バナナ,牛乳,吉田真里奈
2025-12-03,水,ご飯・親子煮,青菜の胡麻和え・じゃがいもの味噌汁,いちご,牛乳,吉田真里奈
2025-12-04,木,菜飯・ししゃものフライ,切り干し大根の煮物・すまし汁,キウイ,牛乳,吉田真里奈
